Chris Fryer|LANL
Francis Halzen|Univ Wisconsin
Nobuyuki Kawai|Tokyo Tech
Julie McEnery|NASA/GSFC
Nicola Omodei|KIPAC Stanford
Darach Watson|Dark Cosmology Centre, Niels Bohr Institute
Volker Bromm|University of Texas at Austin
Michael Mihatsch|Bayerisches Staatsministerium f. Wissenschaft, Forschung und Kunst
Markus Garczarczyk|IAC
Roland Diehl|MPE Garching
Gottfried Kanbach|Max-Planck-Institut f. extraterrestrische Physik (ret.)
CHRISTIAN GUEUA KOUNDJO|ARCHIMEDE CAMEROUN
CHRISTIAN GUEUA KOUNDJO|ARCHIMEDE CAMEROUN
Walburga Frankenhuizen|MPE Garching
EBODE ENGAMA Hubertine Laure|IEPD CAMEROUN
Michal Was|Albert Einstein Institute
Andreja Gomboc|University of Ljubljana
